=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2012.05.03 10:29:14 =~=~=~=~=~=~=~=~=~=~=~=
iostat 10
   tty       lofi2          md10          md11          md20           cpu
 tin tout kps tps serv  kps tps serv  kps tps serv  kps tps serv   us sy wt id
md21      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md30      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md31      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
sd0       0.0    0.4    0.0    0.3  0.0  0.0    0.2   0   0 
sd1       0.0   34.1    0.0 2123.0  0.0  0.1    1.5   0   0 
nfs101    0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
                 extended device statistics                 
device    r/s    w/s   kr/s   kw/s wait actv  svc_t  %w  %b 
lofi2     0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md10      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md11      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md20      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md21      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md30      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
